yearmonth,price
1995-01,3449898369
1995-02,3337149272
1995-03,4688188369
1995-04,4086905472
1995-05,4547134078
1995-06,5228492385
1995-07,4770074618
1995-08,5170062958
1995-09,4882711277
1995-10,4391998628
1995-11,4551486975
1995-12,4996955204
1996-01,3511688915
1996-02,3615109973
1996-03,4844829632
1996-04,4753494976
1996-05,5803232753
1996-06,5676430130
1996-07,6644278195
1996-08,7201587015
1996-09,6249214319
1996-10,6658132820
1996-11,7206788239
1996-12,6777305241
1997-01,5275925683
1997-02,5167002780
1997-03,5963491779
1997-04,6400301295
1997-05,7479616935
1997-06,7999186240
1997-07,8865115322
1997-08,8445522468
1997-09,7735115216
1997-10,8096889225
1997-11,6886577326
1997-12,7530962938
1998-01,5320402227
1998-02,5334941999
1998-03,6721339764
1998-04,7127156215
1998-05,7711034059
1998-06,8366892880
1998-07,9652126417
1998-08,8405424791
1998-09,7981615622
1998-10,8008495687
1998-11,7345487721
1998-12,7667032697
1999-01,5520448123
1999-02,5716864043
1999-03,7867912434
1999-04,8540718986
1999-05,8609991102
1999-06,10227357302
1999-07,12447247728
1999-08,11456587840
1999-09,11094550928
1999-10,11202852168
1999-11,10988485106
1999-12,10942800626
2000-01,7480290485
2000-02,7786526993
2000-03,10727794929
2000-04,10027417626
2000-05,10469395962
2000-06,12011585599
2000-07,11195458741
2000-08,11200446034
2000-09,10216198302
2000-10,9644245627
2000-11,9798947220
2000-12,10697444992
2001-01,7755454341
2001-02,7888498399
2001-03,10736051761
2001-04,10998772359
2001-05,12358923954
2001-06,14445021993
2001-07,14905203092
2001-08,16534366564
2001-09,12961129270
2001-10,13497864635
2001-11,13714431078
2001-12,12167128221
2002-01,9368807300
2002-02,10004729617
2002-03,13738892751
2002-04,13905084192
2002-05,18578075181
2002-06,15641043106
2002-07,19435278324
2002-08,19743407931
2002-09,16287436301
2002-10,16430964037
2002-11,17044417856
2002-12,16132059675
2003-01,12633863157
2003-02,11710593933
2003-03,12425114936
2003-04,13219933547
2003-05,14576237720
2003-06,15408624675
2003-07,17515021970
2003-08,18955848157
2003-09,18495651580
2003-10,20598751198
2003-11,19609521996
2003-12,20577429098
2004-01,15335669106
2004-02,15207471227
2004-03,18027133906
2004-04,20994997603
2004-05,19510700638
2004-06,22800614854
2004-07,24986522010
2004-08,21886331201
2004-09,18891495619
2004-10,17468790581
2004-11,15521717361
2004-12,15929809387
2005-01,10508893130
2005-02,10818679643
2005-03,13248894577
2005-04,15351998393
2005-05,15750139330
2005-06,18451775467
2005-07,19874705959
2005-08,19711014701
2005-09,19794428455
2005-10,17939430998
2005-11,18651877202
2005-12,20824546402
2006-01,15169964067
2006-02,15325475125
2006-03,20321128105
2006-04,19203935265
2006-05,21209921902
2006-06,25824099286
2006-07,24996708260
2006-08,26798741628
2006-09,25315684882
2006-10,24458804188
2006-11,24849940103
2006-12,26288493243
2007-01,19270805656
2007-02,18659072595
2007-03,22947155005
2007-04,21009343721
2007-05,24073705987
2007-06,27727647733
2007-07,27551777534
2007-08,29477051365
2007-09,23161644496
2007-10,23869238570
2007-11,22982057362
2007-12,18339024208
2008-01,13296790598
2008-02,13685177533
2008-03,13023867353
2008-04,14169023533
2008-05,14753103489
2008-06,13378061501
2008-07,12405070177
2008-08,11157953704
2008-09,9440095233
2008-10,9825672952
2008-11,7662007092
2008-12,8241410020
2009-01,5619966199
2009-02,5610149362
2009-03,7233289716
2009-04,8168714654
2009-05,9456994538
2009-06,11206172404
2009-07,14012142425
2009-08,13253595006
2009-09,13366001522
2009-10,14808581455
2009-11,13803081522
2009-12,16898948218
2010-01,8987156908
2010-02,9906505584
2010-03,11835384947
2010-04,12102810221
2010-05,12012449472
2010-06,14934899478
2010-07,16844472801
2010-08,15340735571
2010-09,14184531227
2010-10,13933782322
2010-11,13215494904
2010-12,13229935892
2011-01,9118218044
2011-02,9184459332
2011-03,11113052969
2011-04,12202640800
2011-05,10906256857
2011-06,13131030448
2011-07,15140728563
2011-08,15774096598
2011-09,15319193126
2011-10,13493988794
2011-11,13930569598
2011-12,14446963578
2012-01,10263915406
2012-02,10334638119
2012-03,13708934018
2012-04,10371595721
2012-05,12572171828
2012-06,14516592878
2012-07,15031611794
2012-08,16327910867
2012-09,13190920402
2012-10,14319420564
2012-11,15143955614
